start loading dictionary

Dictionary(82256 unique tokens: [u'schlegel', u'katolikos', u'h\xf8yfjellet', u'naturlover', u'lakeier']...)
MmCorpus(69378 documents, 82256 features, 14061447 non-zero entries)
Based on LDA semantic coherence results:
(2912.4633439544964, 11102.618079663605, -1.3381817104938127)
(4908.399568287466, 11102.618079663605, -2.154414718867115)
(8139.112243613105, 11102.618079663605, -2.464914549321172)
(5853.2045474532315, 11102.618079663605, -3.105106195707621)
(2024.7144717428075, 11102.618079663605, -4.8068584502390035)
(1798.9013872068672, 11102.618079663605, -6.626863255650796)
(3472.265582283678, 11102.618079663605, -7.7892369127246095)
(2679.619845258647, 11102.618079663605, -9.210742920587155)
(3343.929242107748, 11102.618079663605, -10.410777328785075)
(6153.19227946739, 10101.052860743283, -10.90644597385687)
(2564.681018078638, 10101.052860743283, -12.277251524443116)
(3438.828936150835, 10101.052860743283, -13.354760198605456)
(6317.747800071294, 10101.052860743283, -13.824037076758655)
(1538.4119004850286, 10101.052860743283, -15.70592608792362)
(2423.1243375354666, 10101.052860743283, -17.13350799392541)
(8284.445854737776, 10101.052860743283, -17.331767892702572)
(6607.210443492096, 10101.052860743283, -17.756246010618653)
(7474.047764704125, 8199.935800733221, -17.84893561385454)
(4122.291997075627, 8199.935800733221, -18.536652620267002)
(5632.941808792574, 8199.935800733221, -18.91214711587987)
(1249.2989547224417, 8199.935800733221, -20.79369088317585)
(1948.3746144964866, 8199.935800733221, -22.230821714268465)
(5112.189317940233, 8199.935800733221, -22.70332028891379)
(4259.861425129893, 8199.935800733221, -23.358209983534515)
(6733.427574839333, 7323.409417003826, -23.44220165851767)
(1883.5874031734259, 7323.409417003826, -24.80009949367386)
(921.6831058451573, 7323.409417003826, -26.87272929805424)
(1724.9193173607864, 7323.409417003826, -28.318625008096785)
(1938.3864095334297, 7323.409417003826, -29.647845115666264)
(1693.9874096345532, 7323.409417003826, -31.11183593868062)
(1405.186563557704, 8070.187184947391, -32.85984253643342)
(927.1627855769041, 8070.187184947391, -35.02364533771845)
(1570.505354559999, 8070.187184947391, -36.660424565439364)
(1932.9789143190173, 8070.187184947391, -38.08953895071374)
(1681.450950637926, 8070.187184947391, -39.65805854611883)
(954.7265898312698, 7571.161126939757, -41.728735259996334)
(2219.750485629222, 7571.161126939757, -42.95568690530545)
(5974.849259489885, 7571.161126939757, -43.192474477359305)
(5308.291987521856, 7571.161126939757, -43.54755079446534)
(1989.9304869717414, 9773.255979986036, -45.13910076109264)
(1662.1642835541895, 9773.255979986036, -46.910629896224194)
(1433.0285601974751, 9773.255979986036, -48.83048949080625)
(2292.482553164999, 9984.219582865375, -50.30185998094499)
(5630.204790698485, 9984.219582865375, -50.87471996941422)
(9145.419023476694, 10466.154964566107, -51.00961358298267)
0 cohenrence: -51.009613583
(16874.054808312798, 9132.645038144201, 0.6139218627316404)
(6612.28251470985, 9132.645038144201, 0.29099540825117726)
(1783.3210613433303, 9132.645038144201, -1.342382562121433)
(1409.1593351966728, 9132.645038144201, -3.2112446128104857)
(1338.1042083638113, 9132.645038144201, -5.131846131556264)
(9797.559933748655, 9132.645038144201, -5.0615681243331805)
(3049.9517709614415, 9132.645038144201, -6.158297707737428)
(982.781157748016, 9132.645038144201, -8.38752187936591)
(9385.864373859513, 9132.645038144201, -8.360172473030946)
(7863.558555969861, 10137.79709578915, -8.614203952182072)
(941.5682110127312, 10137.79709578915, -10.990683162019831)
(1429.2992012570467, 10137.79709578915, -12.949769632547204)
(1295.4233960881263, 10137.79709578915, -15.007202769670046)
(10598.55903577128, 10137.79709578915, -14.962755443439372)
(4340.360444821529, 10137.79709578915, -15.81106877259856)
(956.5469498568172, 10137.79709578915, -18.17176490447332)
(11780.856895777446, 10137.79709578915, -18.021559712943475)
(1141.9305063048914, 6687.504752921438, -19.789080279123034)
(1450.019557929931, 6687.504752921438, -21.317744057493076)
(1337.913440156325, 6687.504752921438, -22.92687361427451)
(5854.811076989297, 6687.504752921438, -23.059850707637665)
(3052.832749260901, 6687.504752921438, -23.84402160074818)
(1013.4757234089211, 6687.504752921438, -25.730876690286816)
(6135.628056083841, 6687.504752921438, -25.817005067672955)
(1.0, 861.9846188752095, -32.576242494645214)
(1.0, 861.9846188752095, -39.33547992161747)
(1124.8308024883283, 861.9846188752095, -39.069329443050236)
(19.016862369240144, 861.9846188752095, -42.88324079132731)
(1.0, 861.9846188752095, -49.642478218299566)
(971.0709599753274, 861.9846188752095, -49.52331610037638)
(94.51012728693394, 936.485536855121, -51.81674318249809)
(1139.950333719849, 936.485536855121, -51.620137286907955)
(1411.945517675183, 936.485536855121, -51.209547532752005)
(138.72593150309137, 936.485536855121, -53.11918133975386)
(1193.0873953125592, 936.485536855121, -52.877015741517795)
(1051.7423620639772, 863.8263788336394, -52.68018407938157)
(1305.017161723506, 863.8263788336394, -52.26758440715205)
(64.3636263442488, 863.8263788336394, -54.86440754011195)
(1101.4085153672559, 863.8263788336394, -54.62143423009725)
(2543.5803008038743, 10674.11414196949, -56.055683145641)
(26.77290125072679, 10674.11414196949, -62.04386976733409)
(8364.79002822624, 10674.11414196949, -62.28766010575099)
(979.0932438171761, 7241.907011990927, -64.28867307395846)
(2439.3651102899184, 7241.907011990927, -65.37681984037262)
(834.5724153372014, 661.3347867570903, -65.14416052101033)
1 cohenrence: -65.144160521
(7828.027832564374, 10115.379906128172, -0.25634642356069637)
(7974.261862945762, 10115.379906128172, -0.49418436414613587)
(6860.993511688107, 10115.379906128172, -0.8823891347203403)
(4983.924251914074, 10115.379906128172, -1.5902285802045784)
(3322.6318595977245, 10115.379906128172, -2.703528411127505)
(4197.205968769207, 10115.379906128172, -3.583166381345621)
(4092.209654999879, 10115.379906128172, -4.488138327833817)
(4191.7969262680745, 10115.379906128172, -5.369065853752031)
(4852.160392840094, 10115.379906128172, -6.103698834762001)
(8769.294529188912, 7395.028386324593, -5.933250407721899)
(4363.674023423028, 7395.028386324593, -6.460743974020686)
(3061.5934411751005, 7395.028386324593, -7.342616395919149)
(2410.717356487543, 7395.028386324593, -8.463499969153283)
(2561.454955871674, 7395.028386324593, -9.523732464708507)
(2860.349936480059, 7395.028386324593, -10.473596426687793)
(2805.7993734725683, 7395.028386324593, -11.442715881421378)
(5544.595645330118, 7395.028386324593, -11.730700120409983)
(4440.204323686625, 6251.506684007151, -12.072822230313232)
(2924.175899536142, 6251.506684007151, -12.832632037211852)
(1895.9940754721322, 6251.506684007151, -14.025711262271775)
(2237.652637582926, 6251.506684007151, -15.053106379654366)
(2798.442719477167, 6251.506684007151, -15.856865792946195)
(2885.9075599856665, 6251.506684007151, -16.629848867741387)
(5848.86865850628, 6251.506684007151, -16.696423121045424)
(2179.261520954695, 6399.915620747406, -17.773721859509937)
(5490.187605266345, 6399.915620747406, -17.92704423841319)
(3521.7342925086546, 6399.915620747406, -18.524375479423448)
(5809.054372897775, 6399.915620747406, -18.62124248636412)
(2641.9234189329554, 6399.915620747406, -19.50602007272542)
(2231.977334618454, 6399.915620747406, -20.559416989019248)
(1565.713884868471, 5214.43545857825, -21.762505941773664)
(2325.5311700537573, 5214.43545857825, -22.56998829779351)
(1751.293623824688, 5214.43545857825, -23.66106439853207)
(1804.483524994539, 5214.43545857825, -24.72222081263324)
(2799.5785289136816, 5214.43545857825, -25.344182761374412)
(3686.581279828205, 5878.893474514749, -25.810851774798735)
(3736.7367013537787, 5878.893474514749, -26.264007643596905)
(1642.639976081601, 5878.893474514749, -27.539071514088004)
